scenario_id,tax_delta,completions_uplift_pct,year,price,rent,price_delta_pct,rent_delta_pct
20,0.004,0.25,2019,550367.5338944816,1956.8292294742039,-0.5158700537766792,-1.3965729926935233
20,0.004,0.25,2020,572352.2552692567,1963.076823367494,-1.104746012573865,-2.9196111965335225
20,0.004,0.25,2021,635277.9942149586,2060.782452898828,-1.8138954999976198,-4.653028074338272
20,0.004,0.25,2022,725655.5660561445,2139.168387812221,-2.5252664974431016,-6.363650862901116
20,0.004,0.25,2023,725122.615342253,2115.2460913216205,-3.199991590115603,-7.993185018560567
20,0.004,0.25,2024,729689.3121286778,2102.882199543735,-3.9748493366139614,-9.77454809658569
21,0.004,0.3,2018,516412.33556893683,1886.107517096564,0.0,0.0
21,0.004,0.3,2019,549509.799203399,1950.9925635540687,-0.6709137004526244,-1.6906790155153062
21,0.004,0.3,2020,570481.4281619361,1950.8058507722892,-1.42800135094584,-3.526449796204645
21,0.004,0.3,2021,631957.4947558482,2040.2020836061279,-2.327099026411761,-5.605227512183141
21,0.004,0.3,2022,720441.8433210182,2109.8288405894336,-3.2256073449952183,-7.647910719642459
21,0.004,0.3,2023,718538.207374923,2078.612549386139,-4.078974996681694,-9.586633425722823
21,0.004,0.3,2024,721538.618206307,2058.124599120636,-5.047458732006604,-11.694900423103437
22,0.006,0.0,2018,516412.33556893683,1886.107517096564,0.0,0.0
22,0.006,0.0,2019,555410.564613182,1987.1780987600603,0.39570537981017395,0.1326879526707847
22,0.006,0.0,2020,583356.0961800239,2027.5088062075306,0.7965789698805237,0.26675516011214206
22,0.006,0.0,2021,654795.6007572791,2170.0438052494615,1.2026701185271271,0.40220668878843124
22,0.006,0.0,2022,756403.1722761288,2296.7950211545267,1.604950181557241,0.5360315356596423
22,0.006,0.0,2023,764196.1789336065,2314.4699470431747,2.016121111681657,0.6724508658245698
22,0.006,0.0,2024,778281.8990468946,2349.483476029053,2.4198043911942246,0.8060310797819437
23,0.006,0.05,2018,516412.33556893683,1886.107517096564,0.0,0.0
23,0.006,0.05,2019,554543.7826885269,1981.2427831557393,0.23902636021531087,-0.16638896734908482
23,0.006,0.05,2020,581443.8051274456,2014.7986010423344,0.4661591845096513,-0.3618048863013201
23,0.006,0.05,2021,651357.2837129597,2148.2724596206253,0.6712571627944808,-0.6050960847462039
23,0.006,0.05,2022,750933.981128815,2265.0939511587453,0.870293170027181,-0.8515976360580657
23,0.006,0.05,2023,757201.1170587688,2274.06482904123,1.0823175948897257,-1.0850497065960196
23,0.006,0.05,2024,769502.190915955,2298.9837936550216,1.2644184179577689,-1.3606887983759752
24,0.006,0.1,2018,516412.33556893683,1886.107517096564,0.0,0.0
24,0.006,0.1,2019,553678.590924174,1975.3268176353597,0.08263477711405454,-0.4644908484842225
24,0.006,0.1,2020,579538.8808673967,2002.1753406482862,0.1370122880136826,-0.9860652374165668
24,0.006,0.1,2021,647940.1766178545,2126.7393750019583,0.14312233460431756,-1.6013751493902717
24,0.006,0.1,2022,745511.2303070244,2233.8699995033394,0.1418743223945862,-2.2183422342407333
24,0.006,0.1,2023,750281.2233291403,2234.4286215949096,0.1585486252688062,-2.8091049926648903
24,0.006,0.1,2024,760838.7122904774,2249.6668760138564,0.12432793499095318,-3.476661429473926
25,0.006,0.15,2018,516412.33556893683,1886.107517096564,0.0,0.0
25,0.006,0.15,2019,552814.9859675124,1969.4301338279959,-0.07346997550965462,-0.7616211359037339
25,0.006,0.15,2020,577641.2907949658,1989.638380628919,-0.19086735332500826,-1.606057760687185
25,0.006,0.15,2021,644544.1292051617,2105.441727232009,-0.38175759069777326,-2.5867611716496985
25,0.006,0.15,2022,740134.4670734407,2203.1153912484747,-0.580367175935459,-3.564542585991637
25,0.006,0.15,2023,743435.5706831148,2195.545487135077,-0.7553095549696409,-4.500403878795433
25,0.006,0.15,2024,752289.6978507979,2201.502750756742,-1.0006993690254151,-5.543172795540297
26,0.006,0.2,2018,516412.33556893683,1886.107517096564,0.0,0.0
26,0.006,0.2,2019,551952.964473917,1963.5526636229695,-0.22928850222841968,-1.0577832616629923
26,0.006,0.2,2020,575751.0024682317,1977.187081731302,-0.5174853450613859,-2.2218140692025545
26,0.006,0.2,2021,641168.9924100818,2084.376728188463,-0.9034056519894862,-3.5613831505945437
26,0.006,0.2,2022,734803.2436722905,2172.8224878077713,-1.2964914704048147,-4.890533049907897
26,0.006,0.2,2023,736663.2449594978,2157.3999390498966,-1.6593789814778437,-6.159619985818676
26,0.006,0.2,2024,743853.4125177684,2154.462262373419,-2.110891825839978,-7.561473831643751
27,0.006,0.25,2018,516412.33556893683,1886.107517096564,0.0,0.0
27,0.006,0.25,2019,551092.523106728,1957.6943391687898,-0.3848214061750288,-1.3529806447570958
27,0.006,0.25,2020,573867.98360735,1964.8208098020207,-0.8428472647456275,-2.8333655238647393
27,0.006,0.25,2021,637814.6183590917,2063.5416252955074,-1.4218447040293847,-4.525368440651956
27,0.006,0.25,2022,729517.1172682822,2142.9837843879945,-2.006558045504525,-6.196642128151164
27,0.006,0.25,2023,729963.3446976277,2119.9768333609923,-2.5537799944545303,-7.787412031045227
27,0.006,0.25,2024,735528.1508761988,2108.517048374865,-3.2064738635043333,-9.53278144778984
28,0.006,0.3,2018,516412.33556893683,1886.107517096564,0.0,0.0
28,0.006,0.3,2019,550233.6585372284,1951.8550928720965,-0.5400692890464964,-1.6472166911740804
28,0.006,0.3,2020,571992.2020936544,1952.5389357436175,-1.1669586620783323,-3.440743235542698
28,0.006,0.3,2021,634480.8603593498,2042.9337010385327,-1.9370974190945023,-5.478842774059622
28,0.006,0.3,2022,724275.6498863986,2113.591907480154,-2.710625732862315,-7.483192576268005
28,0.006,0.3,2023,723334.9809409445,2083.2613606101813,-3.438631264867409,-9.384424181167816
28,0.006,0.3,2024,727312.2366104539,2063.6395162159406,-4.2876660806468685,-11.458279519069114
29,0.008,0.0,2018,516412.33556893683,1886.107517096564,0.0,0.0
29,0.008,0.0,2019,556142.1969187122,1988.0566256198456,0.5279548292665748,0.17695638334833674
29,0.008,0.0,2020,584900.9653720979,2029.310033654067,1.0635128898939028,0.3558315827725922
29,0.008,0.0,2021,657410.1574481738,2172.9492671814605,1.6067658668626361,0.5366347536585048
29,0.008,0.0,2022,760428.3458204346,2300.891558813223,2.145637439928505,0.7153464660075493
29,0.008,0.0,2023,769297.7532030601,2319.646252685465,2.697154114567213,0.8976045240544739
29,0.008,0.0,2024,784509.5666762756,2355.7791136170904,3.23934869923439,1.0761492759053581
30,0.008,0.05,2018,516412.33556893683,1886.107517096564,0.0,0.0
30,0.008,0.05,2019,555274.2731978827,1982.1186860261685,0.3710694192289754,-0.12225275788891876
30,0.008,0.05,2020,582983.6101065067,2016.5885368139222,0.7322180723596139,-0.2732868728590909
30,0.008,0.05,2021,653958.1114251881,2151.148771995468,1.0732310133997114,-0.47201669304827165
30,0.008,0.05,2022,754930.0505599683,2269.1339471470437,1.4070709763029043,-0.6747576654283272
30,0.008,0.05,2023,762255.9941205451,2279.150768748738,1.7571167691782463,-0.8638266935408034
30,0.008,0.05,2024,775659.6049467499,2305.144113118126,2.0747175414012275,-1.0963765094857192
31,0.008,0.1,2018,516412.33556893683,1886.107517096564,0.0,0.0
31,0.008,0.1,2019,554407.9417320448,1976.2001050710605,0.21447182431988399,-0.42048642917899004
31,0.008,0.1,2020,581073.641142508,2003.9540619861727,0.4021995146203716,-0.898101813367358
31,0.008,0.1,2021,650527.3600413786,2129.5868568262445,0.5429873768315829,-1.4696296712699897
31,0.008,0.1,2022,749478.442755625,2237.8543048041233,0.6747758727499997,-2.043939973839648
31,0.008,0.1,2023,755289.9049861613,2239.425915033969,0.8271809589786461,-2.5917378244938227
31,0.008,0.1,2024,766926.8027696649,2255.6950466691083,0.9255042655183399,-3.2180190663215757
32,0.008,0.15,2018,516412.33556893683,1886.107517096564,0.0,0.0
32,0.008,0.15,2019,553543.1991641712,1970.3008143533689,0.05816143772492399,-0.7177480772141087
32,0.008,0.15,2020,579171.0257888444,1991.4059642018724,0.0734515680391068,-1.5186451345167162
32,0.008,0.15,2021,647117.7524299382,2108.2606937310798,0.016011639769275554,-2.4563350224614533
32,0.008,0.15,2022,744073.0672608623,2207.0448429773305,-0.051309008947819645,-3.3925413933333926
32,0.008,0.15,2023,748398.5525494809,2200.4558185513397,-0.09277789999485586,-4.286819295910638
32,0.008,0.15,2024,758309.3806995958,2207.401861607803,-0.2085252986456121,-5.2900678225271776
33,0.008,0.2,2018,516412.33556893683,1886.107517096564,0.0,0.0
33,0.008,0.2,2019,552680.0421452313,1964.420745732304,-0.09786234592485954,-1.0140411355669343
33,0.008,0.2,2020,577275.7315176807,1978.9436036401821,-0.25403138778410383,-2.134948477481402
33,0.008,0.2,2021,643729.1389308604,2087.167490854657,-0.5077193286577297,-3.43226191840893
33,0.008,0.2,2022,738713.4739371896,2176.6979094561916,-0.7712441342944132,-4.720896878864778
33,0.008,0.2,2023,741581.0165466076,2162.224958053253,-1.0028826580726902,-5.949746235173259
33,0.008,0.2,2024,749805.5897736116,2160.235324299324,-1.3276013099077333,-7.3137770651562235
34,0.008,0.25,2018,516412.33556893683,1886.107517096564,0.0,0.0
